ID,Type,T0,T1,g_lost,percent_lost,mean
2,Canvas,80.49,42.808,37.682,46.81575351,44.10952
3,Canvas,85.456,44.187,41.269,48.29268864,
4,Canvas,80.826,42.537,38.289,47.37213273,
5,Canvas,88.669,39.571,49.098,55.37222705,
8,Canvas,56.476,37.53,18.946,33.54699341,
9,Canvas,86.699,45.095,41.604,47.98671265,
10,Canvas,85.648,36.059,49.589,57.89860826,
12,Canvas,84.93,46.944,37.986,44.72624514,
14,Canvas,85.981,51.724,34.257,39.84252335,
15,Canvas,88.008,49.893,38.115,43.30856286,
17,Canvas,85.302,57.01,28.292,33.16686596,
18,Canvas,86.622,50.741,35.881,41.42250237,
19,Canvas,72.933,48.375,24.558,33.67200033,
21,Ventile,42.607,29.663,12.944,30.37998451,26.93741
22,Ventile,44.83,31.113,13.717,30.59781396,
23,Ventile,42.199,30.487,11.712,27.75421219,
24,Ventile,47.262,42.628,4.634,9.80491727,
25,Ventile,45.41,34.175,11.235,24.74124642,
26,Ventile,42.197,36.332,5.865,13.89909235,
27,Ventile,40.464,29.719,10.745,26.55446817,
28,Ventile,42.581,25.699,16.882,39.64679082,
29,Ventile,42.159,30.966,11.193,26.54949121,
30,Ventile,43.404,33.813,9.591,22.09704175,
31,Ventile,42.691,34.554,8.137,19.06022347,
32,Ventile,39.491,29.068,10.423,26.39335545,
33,Ventile,41.628,29.712,11.916,28.62496397,
34,Ventile,50.486,32.128,18.358,36.36255596,
35,Ventile,46.765,31.736,15.029,32.13728216,
37,Ventile,40.116,29.456,10.66,26.57293848,
39,Ventile,40.414,25.558,14.856,36.75953877,
42,Polyester hemmed,32.6358,31.368,1.2678,3.884691045,13.24918
43,Polyester hemmed,32.6358,30.551,2.0848,6.388076897,
44,Polyester hemmed,32.6358,26.852,5.7838,17.72225593,
45,Polyester hemmed,32.6358,28.847,3.7888,11.60933699,
46,Polyester hemmed,32.6358,29.375,3.2608,9.991481747,
47,Polyester hemmed,32.6358,29.628,3.0078,9.216259445,
48,Polyester hemmed,32.6358,24.367,8.2688,25.33659356,
49,Polyester hemmed,32.6358,25.262,7.3738,22.59420636,
50,Polyester hemmed,32.6358,27.778,4.8578,14.88488102,
51,Polyester hemmed,32.6358,27.567,5.0688,15.53141029,
52,Polyester hemmed,32.6358,24.802,7.8338,24.00370146,
53,Polyester hemmed,32.6358,30.397,2.2388,6.859951342,
54,Polyester hemmed,32.6358,29.855,2.7808,8.520704257,
55,Polyester hemmed,32.6358,31.145,1.4908,4.567989754,
58,Polyester hemmed,32.6358,29.929,2.7068,8.293959394,
59,Polyester hemmed,32.6358,23.823,8.8128,27.00347471,
60,Polyester hemmed,32.6358,29.755,2.8808,8.827116234,
61,Polyester unhemmed,32.6358,24.806,7.8298,23.99144498,25.5191
62,Polyester unhemmed,32.6358,27.01,5.6258,17.238125,
63,Polyester unhemmed,32.6358,23.272,9.3638,28.69180471,
64,Polyester unhemmed,32.6358,21.97,10.6658,32.68128865,
65,Polyester unhemmed,32.6358,25.657,6.9788,21.38387905,
66,Polyester unhemmed,32.6358,27.668,4.9678,15.22193419,
67,Polyester unhemmed,32.6358,21.102,11.5338,35.34094461,
68,Polyester unhemmed,32.6358,25.885,6.7508,20.68525975,
69,Polyester unhemmed,32.6358,22.455,10.1808,31.19519056,
70,Polyester unhemmed,32.6358,22.38,10.2558,31.42499954,
71,Polyester unhemmed,32.6358,25.906,6.7298,20.62091323,
72,Polyester unhemmed,32.6358,26.855,5.7808,17.71306357,
73,Polyester unhemmed,32.6358,24.142,8.4938,26.02602051,
74,Polyester unhemmed,32.6358,24.333,8.3028,25.44077363,
75,Polyester unhemmed,32.6358,22.493,10.1428,31.07875401,
76,Polyester unhemmed,32.6358,22.985,9.6508,29.57120708,
